country,cab_id,rightMeasures,leftMeasures,nmeasures
Austria,1,33,20,62
Austria,2,63,25,111
Denmark,3,42,23,82
Denmark,4,12,12,29
Denmark,5,18,14,40
Denmark,6,23,12,42
France,7,19,18,41
France,8,19,20,50
France,9,29,29,71
France,10,17,9,31
Germany,11,26,21,58
Germany,12,55,29,93
Germany,13,7,17,27
Germany,14,53,27,124
Ireland,15,12,17,37
Ireland,16,13,12,31
Ireland,17,12,14,32
Ireland,18,28,32,82
Netherlands,19,26,17,53
Netherlands,20,40,18,75
Netherlands,21,48,31,102
Netherlands,22,23,7,41
Sweden,23,16,16,37
Sweden,24,32,29,76
UK,25,23,10,46
UK,26,46,19,86
UK,27,16,20,57
UK,28,6,11,23
